record_id1,record_id2,title1,title2,author1,author2,year1,year2,doi1,doi2,title_sim,author_sim,abstract_sim,doi_sim,journal_sim,conflict_type,decision
psycinfo:2012-30591-004,wos:WOS:000308875900231,DISSOCIATIVE EXPERIENCES AND QUALITY OF LIFE IN PATIENTS WITH NON EPILEPTIC ATTACK DISORDER,DISSOCIATIVE EXPERIENCES AND QUALITY OF LIFE IN PATIENTS WITH NON EPILEPTIC ATTACK DISORDER,"MITCHELL, JAMES W ; ALI, FIZZAH; CAVANNA, ANDREA E","MITCHELL, J W ; ALI, F ; CAVANNA, A E",2012,2012,10.1016/J.YEBEH.2012.08.022,,1.0,0.883,0.9271,0.0,0.862,,merge (default)
scopus:84901312035,psycinfo:2014-16595-001,DIAGNOSES BEHIND PATIENTS WITH HARD TO CLASSIFY TREMOR AND NORMAL DAT SPECT A CLINICAL FOLLOW UP STUDY,DIAGNOSES BEHIND PATIENTS WITH HARD TO CLASSIFY TREMOR AND NORMAL DAT SPECT A CLINICAL FOLLOW UP STUDY,MENÉNDEZ-GONZÁLEZ M ; TAVARES F ; ZEIDAN N ; SALAS-PACHECO J M ; ARIAS-CARRIÓN O,"MENÉNDEZ-GONZÁLEZ, MANUEL; TAVARES, FRANCISCO; ZEIDAN, NAHLA; SALAS-PACHECO, JOSÉ M ; ARIAS-CARRIÓN, OSCAR",2014,2014,10.3389/FNAGI.2014.00056,,1.0,0.8651,0.8977,0.0,1.0,,merge (default)
scopus:80455173354,wos:WOS:000310938200309,CORTICAL ACTIVITIES DURING TRANSPARENT MOTION PERCEPTION AN FMRI MEG INTEGRATION STUDY,CORTICAL ACTIVITIES DURING TRANSPARENT MOTION PERCEPTION AN FMRI MEG INTEGRATION STUDY,NATSUKAWA H ; KOBAYASHI T,"NATSUKAWA, HIROAKI; KOBAYASHI, TETSUO",2011,2012,10.1007/978-3-642-23508-5_309,,1.0,0.8884,0.8998,0.0,0.5262,,merge (default)
psycinfo:2016-17526-001,wos:WOS:000373330400002,POSITRON EMISSION TOMOGRAPHY IN PATIENTS WITH PSYCHOGENIC NON EPILEPTIC SEIZURES,POSITRON EMISSION TOMOGRAPHY IN PATIENTS WITH PSYCHOGENIC NON EPILEPTIC SEIZURES RESPONSE,"MCGONIGAL, AILEEN; ARTHUIS, MARIE; MICOULAUD-FRANCHI, JEAN-ARTHUR; BARTOLOMEI, FABRICE; GUEDJ, ERIC","DAR, MARYAM EJAREH; KANAAN, RICHARD A A",2016,2016,,,0.9798,0.6326,0.0,0.0,1.0,,merge (default)
scopus:85061306800,europepmc:30730006,CORRECTION TO CEREBRAL PERFUSION ABNORMALITIES IN PATIENTS WITH PERSISTENT POSTURAL PERCEPTUAL DIZZINESS PPPD A SPECT STUDY JOURNAL OF NEURAL TRANSMISSION 2019 126 2 123 129 101007S00702 018 1948 3,CORRECTION TO CEREBRAL PERFUSION ABNORMALITIES IN PATIENTS WITH PERSISTENT POSTURAL PERCEPTUAL DIZZINESS PPPD A SPECT STUDY,NA S ; IM J J ; JEONG H ; LEE E S ; LEE T K ; CHUNG Y A ; SONG I U,NA S; IM JJ; JEONG H; LEE ES; LEE TK; CHUNG YA; SONG IU,2019,2019,10.1007/S00702-019-01977-2,10.1007/S00702-019-01977-2,0.9249,0.8867,1.0,1.0,0.9091,,merge (default)
europepmc:27103807,wos:MEDLINE:27103807,ERRATUM UNCOVERING THE ETIOLOGY OF CONVERSION DISORDER INSIGHTS FROM FUNCTIONAL NEUROIMAGING CORRIGENDUM,ERRATUM UNCOVERING THE ETIOLOGY OF CONVERSION DISORDER INSIGHTS FROM FUNCTIONAL NEUROIMAGING CORRIGENDUM,UNKNOWN,[ANONYMOUS],2016,2016,10.2147/NDT.S108173,10.2147/NDT.S108173,1.0,0.456,1.0,1.0,1.0,,merge (default)
europepmc:27103807,scopus:85121159126,ERRATUM UNCOVERING THE ETIOLOGY OF CONVERSION DISORDER INSIGHTS FROM FUNCTIONAL NEUROIMAGING CORRIGENDUM,ERRATUM TO UNCOVERING THE ETIOLOGY OF CONVERSION DISORDER INSIGHTS FROM FUNCTIONAL NEUROIMAGING CORRIGENDUM NEUROPSYCHIATR DIS TREAT 201612143–153,UNKNOWN,UNKNOWN,2016,2016,10.2147/NDT.S108173,10.2147/NDT.S108173,0.8617,1.0,0.0,1.0,1.0,,merge (default)
wos:MEDLINE:27103807,scopus:85121159126,ERRATUM UNCOVERING THE ETIOLOGY OF CONVERSION DISORDER INSIGHTS FROM FUNCTIONAL NEUROIMAGING CORRIGENDUM,ERRATUM TO UNCOVERING THE ETIOLOGY OF CONVERSION DISORDER INSIGHTS FROM FUNCTIONAL NEUROIMAGING CORRIGENDUM NEUROPSYCHIATR DIS TREAT 201612143–153,[ANONYMOUS],UNKNOWN,2016,2016,10.2147/NDT.S108173,10.2147/NDT.S108173,0.8617,0.456,0.0,1.0,1.0,,merge (default)
pubmed:11061274,wos:WOS:000167697100039,MRI EVIDENCE OF MESIAL TEMPORAL SCLEROSIS IN PATIENTS WITH PSYCHOGENIC NONEPILEPTIC SEIZURES,MRI EVIDENCE OF MESIAL TEMPORAL SCLEROSIS IN PATIENTS WITH PSYCHOGENIC NONEPILEPTIC SEIZURES,BENBADIS S R; TATUM W O; MURTAGH F R; VALE F L,"LOWE, MR; DE TOLEDO, JC; RABINSTEIN, AA; GIULLA, MF",2000,2001,10.1212/WNL.55.7.1061,,1.0,0.6451,0.0,0.0,1.0,,merge (default)
wos:WOS:000554528300007,wos:WOS:000554528302152,QUANTITATIVE ASSESSMENT OF CHORIOCAPILLARIS IN PATIENTS WITH DIABETIC RETINOPATHY A SWEPT SOURCE OPTICAL COHERENCE TOMOGRAPHY ANGIOGRAPHY STUDY,QUANTITATIVE OPTICAL COHERENCE TOMOGRAPHY ANGIOGRAPHY OCT A ANALYSIS OF MACULAR VASCULAR STRUCTURE AND FOVEAL AVASCULAR ZONE IN GLAUCOMA,"DAI, YINING; ZHOU, HAO; ZHANG, QINQIN; CHU, ZHONGDI; CHAO, JENNIFER R ; REZAEI, KASRA A ; WANG, RUIKANG K","AREDE, PEDRO; PRZEZDZIECKA-DOLYK, JOANNA; DEBOWY, FABIAN; OLSZEWSKI, JACEK; FERNANDES, CARLA; SPOHR, HELENA; PATRICIO, SARA",2020,2020,,,0.8248,0.6428,0.0,0.0,1.0,,keep both (distinct records)
